t,x,u_num,u_exact
0.020200,0.222222,0.6415074810,0.6415073863
0.020200,0.232323,0.6654411122,0.6654410140
0.020200,0.242424,0.6887047007,0.6887045990
0.020200,0.252525,0.7112748219,0.7112747169
0.020200,0.262626,0.7331287496,0.7331286414
0.020200,0.272727,0.7542444789,0.7542443675
0.020200,0.282828,0.7746007479,0.7746006335
0.020200,0.292929,0.7941770595,0.7941769423
0.020200,0.303030,0.8129537023,0.8129535822
0.020200,0.313131,0.8309117695,0.8309116468
0.020200,0.323232,0.8480331790,0.8480330538
0.020200,0.333333,0.8643006910,0.8643005634
0.020200,0.343434,0.8796979255,0.8796977956
0.020200,0.353535,0.8942093787,0.8942092467
0.020200,0.363636,0.9078204389,0.9078203049
0.020200,0.373737,0.9205174009,0.9205172650
0.020200,0.383838,0.9322874798,0.9322873422
0.020200,0.393939,0.9431188243,0.9431186851
0.020200,0.404040,0.9530005281,0.9530003874
0.020200,0.414141,0.9619226411,0.9619224991
0.020200,0.424242,0.9698761796,0.9698760364
0.020200,0.434343,0.9768531350,0.9768529908
0.020200,0.444444,0.9828464820,0.9828463369
0.020200,0.454545,0.9878501860,0.9878500402
0.020200,0.464646,0.9918592086,0.9918590622
0.020200,0.474747,0.9948695130,0.9948693661
0.020200,0.484848,0.9968780682,0.9968779210
0.020200,0.494949,0.9978828516,0.9978827043
0.020200,0.505051,0.9978828516,0.9978827043
0.020200,0.515152,0.9968780682,0.9968779210
0.020200,0.525253,0.9948695130,0.9948693661
0.020200,0.535354,0.9918592086,0.9918590622
0.020200,0.545455,0.9878501860,0.9878500402
0.020200,0.555556,0.9828464820,0.9828463369
0.020200,0.565657,0.9768531350,0.9768529908
0.020200,0.575758,0.9698761796,0.9698760364
0.020200,0.585859,0.9619226411,0.9619224991
0.020200,0.595960,0.9530005281,0.9530003874
0.020200,0.606061,0.9431188243,0.9431186851
0.020200,0.616162,0.9322874798,0.9322873422
0.020200,0.626263,0.9205174009,0.9205172650
0.020200,0.636364,0.9078204389,0.9078203049
0.020200,0.646465,0.8942093787,0.8942092467
0.020200,0.656566,0.8796979255,0.8796977956
0.020200,0.666667,0.8643006910,0.8643005634
0.020200,0.676768,0.8480331790,0.8480330538
0.020200,0.686869,0.8309117695,0.8309116468
0.020200,0.696970,0.8129537023,0.8129535822
0.020200,0.707071,0.7941770595,0.7941769423
0.020200,0.717172,0.7746007479,0.7746006335
0.020200,0.727273,0.7542444789,0.7542443675
0.020200,0.737374,0.7331287496,0.7331286414
0.020200,0.747475,0.7112748219,0.7112747169
0.020200,0.757576,0.6887047007,0.6887045990
0.020200,0.767677,0.6654411122,0.6654410140
0.020200,0.777778,0.6415074810,0.6415073863
0.020200,0.787879,0.6169279061,0.6169278150
0.020200,0.797980,0.5917271371,0.5917270497
0.020200,0.808081,0.5659305490,0.5659304654
0.020200,0.818182,0.5395641168,0.5395640372
0.020200,0.828283,0.5126543893,0.5126543136
0.020200,0.838384,0.4852284623,0.4852283907
0.020200,0.848485,0.4573139514,0.4573138838
0.020200,0.858586,0.4289389640,0.4289389007
0.020200,0.868687,0.4001320715,0.4001320125
0.020200,0.878788,0.3709222799,0.3709222252
0.020200,0.888889,0.3413390011,0.3413389507
0.020200,0.898990,0.3114120227,0.3114119768
0.020200,0.909091,0.2811714789,0.2811714374
0.020200,0.919192,0.2506478192,0.2506477822
0.020200,0.929293,0.2198717785,0.2198717460
0.020200,0.939394,0.1888743454,0.1888743176
0.020200,0.949495,0.1576867320,0.1576867087
0.020200,0.959596,0.1263403413,0.1263403227
